ad_10m_wt_10m	ad_10m_ad_3m	ad_10m_wt_3m	wt_10m_ad_3m	wt_10m_wt_3m	ad_3m_wt_3m
2310057M21Rik	-0.163843724448518	-0.131336550852713	-0.203514161596739	0.0325071735958052	-0.0396704371482201	-0.0721776107440253
2310061I04Rik	-0.10771688035396	-0.22277554977524	-0.0736902064627611	-0.11505866942128	0.0340266738911987	0.149085343312479
2410002F23Rik	-0.0587185469712363	-0.0474658613429394	-0.114934920553036	0.0112526856282969	-0.0562163735817999	-0.0674690592100968
2410004B18Rik	-0.0246949090300613	0.151362437795115	-0.16113288175055	0.176057346825176	-0.136437972720489	-0.312495319545665
2410131K14Rik	0.130470483433357	0.253702165182406	-0.0494140869757329	0.12323168174905	-0.179884570409089	-0.303116252158139
2410137M14Rik	-0.408181511099291	-0.400752885966134	-0.315373935342263	0.00742862513315778	0.092807575757028	0.0853789506238702
2510002D24Rik	0.0412048409585993	0.00908473948483101	0.0891804390167498	-0.0321201014737683	0.0479755980581505	0.0800956995319188
2510009E07Rik	0.080520030862827	-0.00629903925370337	-0.098577671798404	-0.0868190701165304	-0.179097702661231	-0.0922786325447007
2510039O18Rik	0.0381196347961515	0.0397855055141955	0.0208616854182816	0.00166587071804403	-0.0172579493778699	-0.0189238200959139
2610001J05Rik	-0.0736943481239067	-0.0223117570276823	-0.0275475075595474	0.0513825910962244	0.0461468405643593	-0.00523575053186509
2610002M06Rik	-0.0594376689938715	-0.0620600870559903	-0.0537316911323109	-0.00262241806211871	0.00570597786156064	0.00832839592367936
2610008E11Rik	-0.0650442787695858	-0.0962800760439443	-0.0300098355789208	-0.0312357972743585	0.0350344431906649	0.0662702404650234
2610021A01Rik	-0.221109013644049	-0.138803988950136	-0.217593278610582	0.0823050246939134	0.00351573503346733	-0.0787892896604461
2610028H24Rik	-0.565167517150033	-0.115616566194131	-0.454184696644143	0.449550950955902	0.11098282050589	-0.338568130450012
2610044O15Rik8	-0.206101550524728	-0.217847136576955	-0.122763873925663	-0.0117455860522268	0.083337676599065	0.0950832626512917
2610301B20Rik	0.0343149849826658	0.103258365134903	0.110902861001999	0.0689433801522367	0.0765878760193334	0.00764449586709665
2610507B11Rik	0.0170832106523167	0.0642247187275681	-0.0260290667059466	0.0471415080752514	-0.0431122773582633	-0.0902537854335147
2700049A03Rik	-0.0998025430156103	-0.128837584944782	-0.135854180945726	-0.0290350419291717	-0.0360516379301158	-0.00701659600094408
2700062C07Rik	-0.0987376359897892	-0.232732119187522	-0.040588304595788	-0.133994483197733	0.0581493313940011	0.192143814591734
