Gene	Direction
Thrsp	All
Thy1	All
Tifa	All
Tifab	All
Timeless	All
Tiprl	All
Tjp2	All
Tln1	All
Tlr1	All
Tlr13	All
Tlr2	All
Tlr7	All
Tlr9	All
Tmem119	All
Tmem123	All
Tmem151b	All
Tmem17	All
Tmem176a	All
Tmem176b	All
Tmem204	All
Tmem219	All
Tmem266	All
Tmem28	All
Tmem86a	All
Tmigd1	All
Tmsb4x	All
Tnf	All
Tnfrsf1a	All
Tnfrsf1b	All
Tnfsf8	All
Tnni1	All
Tnp2	All
Tns3	All
Tomm40	All
Tor3a	All
Tor4a	All
Tpp1	All
Trem2	All
Trf	All
Trib2	All
Trim30a	All
Trim30d	All
Trim66	All
Trim9	All
Trmt9b	All
Trp53inp2	All
Trp53rkb	All
Trpc4	All
Tsc22d4	All
Tsen2	All
Tspan1	All
Ttc16	All
Ttc9	All
Ttf1	All
Tyrobp	All
Ubap1l	All
Ucp2	All
Ufsp1	All
Unc93b1	All
Upk3a	All
Ushbp1	All
Usp12	All
Usp27x	All
Vamp8	All
Vat1	All
Vav1	All
Vgf	All
Vim	All
Vinac1	All
Vsir	All
Vwa5a	All
Vwc2	All
Vwc2l	All
Wasf2	All
Wdcp	All
Wdfy4	All
Wdr78	All
Wdr82	All
Wdr90	All
Xab2	All
Xlr	All
Xpnpep2	All
Xrcc2	All
Ypel4	All
Zbed4	All
Zbed5	All
Zbtb16	All
Zbtb40	All
Zbtb46	All
Zbtb8b	All
Zc3hav1	All
Zdbf2	All
Zfp235	All
Zfp280b	All
Zfp334	All
Zfp365	All
Zfp366	All
Zfp36l1	All
Zfp493	All
Zfp503	All
Zfp618	All
Zfp667	All
Zfp764	All
Zfp786	All
Zfp791	All
Zfp975	All
Zfp984	All
Zic5	All
Zkscan4	All
Zmym1	All
Zswim3	All
1110002E22Rik	Downreg
1700007K13Rik	Downreg
4930590J08Rik	Downreg
4933405L10Rik	Downreg
5330417C22Rik	Downreg
5730480H06Rik	Downreg
Aars2	Downreg
Abcg4	Downreg
Acad10	Downreg
Acp4	Downreg
Acsbg3	Downreg
Adamts17	Downreg
Adamts8	Downreg
Adamtsl2	Downreg
Adcy3	Downreg
Adcy8	Downreg
Adra2c	Downreg
Adrb1	Downreg
Adrb3	Downreg
Agbl4	Downreg
Ago4	Downreg
Ak6	Downreg
Akap14	Downreg
Akr1c18	Downreg
Alox12b	Downreg
Alox8	Downreg
Amigo1	Downreg
Ankrd34b	Downreg
Ankrd55	Downreg
Apln	Downreg
Arc	Downreg
Arhgap6	Downreg
Arhgef25	Downreg
Arl4d	Downreg
Armc9	Downreg
Asb3	Downreg
Asb6	Downreg
Asic3	Downreg
Atad3a	Downreg
Atg9b	Downreg
Atxn1	Downreg
B3gnt2	Downreg
B4galnt3	Downreg
B4galt2	Downreg
Bambi	Downreg
Banp	Downreg
Bcl6b	Downreg
Bcor	Downreg
Bdnf	Downreg
Bean1	Downreg
Bend4	Downreg
Bmper	Downreg
Brd8dc	Downreg
Bub1b	Downreg
Bves	Downreg
Cacna1h	Downreg
Cacnb1	Downreg
Cacng2	Downreg
Camk1g	Downreg
Camkk1	Downreg
Caskin1	Downreg
Castor2	Downreg
Cbx7	Downreg
Ccdc177	Downreg
Ccdc184	Downreg
Ccdc27	Downreg
Ccdc88c	Downreg
Ccdc92	Downreg
Ccdc92b	Downreg
Ccer1	Downreg
Ccnjl	Downreg
Ccno	Downreg
Cdc42ep3	Downreg
Cdc7	Downreg
Cdhr3	Downreg
Cdiptos	Downreg
Cdk5r1	Downreg
Cdkl1	Downreg
Cdyl2	Downreg
Chchd4	Downreg
Chrnb3	Downreg
Chst10	Downreg
Chst8	Downreg
Cib2	Downreg
Clgn	Downreg
Cntrob	Downreg
Col26a1	Downreg
Colgalt2	Downreg
Coq10b	Downreg
Cry1	Downreg
Ctu1	Downreg
Ctxn3	Downreg
Cx3cl1	Downreg
D6Wsu163e	Downreg
Dand5	Downreg
Dcaf1	Downreg
Dennd11	Downreg
Dgkg	Downreg
Dhx8	Downreg
Dll1	Downreg
Dlx1	Downreg
Dmp1	Downreg
Dnah7c	Downreg
Dnase1l2	Downreg
Dok4	Downreg
Dok7	Downreg
Dpf1	Downreg
Dpysl5	Downreg
Drc1	Downreg
Dtl	Downreg
Dusp14	Downreg
Dusp26	Downreg
Dusp4	Downreg
Dusp6	Downreg
Ecsit	Downreg
Eef1a2	Downreg
Efna3	Downreg
Egfl6	Downreg
Egr1	Downreg
Egr3	Downreg
Egr4	Downreg
Emx2	Downreg
Enc1	Downreg
Enkur	Downreg
Ephb2	Downreg
Ephb3	Downreg
Etaa1	Downreg
Etnk2	Downreg
Ets2	Downreg
Etv1	Downreg
Etv5	Downreg
Evc	Downreg
Evi2	Downreg
Exosc3	Downreg
Fam163a	Downreg
Fam221b	Downreg
Fam228a	Downreg
Fam53c	Downreg
Fam71f2	Downreg
Fat4	Downreg
Fer1l5	Downreg
Fgd5	Downreg
Flrt1	Downreg
Fnbp1l	Downreg
Fosb	Downreg
Fzd1	Downreg
Fzd2	Downreg
Galnt9	Downreg
Garem2	Downreg
Gas8	Downreg
Gata2	Downreg
Gdf10	Downreg
Gfod1	Downreg
Gfra2	Downreg
Ggct	Downreg
Glt8d2	Downreg
Gm11549	Downreg
Gm21954	Downreg
Gm43951	Downreg
Gm49380	Downreg
Gm49601	Downreg
Gm6169	Downreg
Gm6588	Downreg
Gm960	Downreg
Gng4	Downreg
Gorab	Downreg
Gpc5	Downreg
Gpr149	Downreg
Gpr182	Downreg
Gpr27	Downreg
Gpr3	Downreg
Gpr45	Downreg
Grhl2	Downreg
Grin3b	Downreg
Grpr	Downreg
Gtpbp6	Downreg
Gucy2g	Downreg
H3c10	Downreg
Haus3	Downreg
Hbegf	Downreg
Hcrtr1	Downreg
Hcrtr2	Downreg
Hdac9	Downreg
Hdgf	Downreg
Hivep1	Downreg
Hivep2	Downreg
Homer1	Downreg
Hrc	Downreg
Hrh2	Downreg
Hspa12b	Downreg
Hspa1a	Downreg
Hspa1b	Downreg
Hspa5	Downreg
Htr5b	Downreg
Htr7	Downreg
Ier5	Downreg
Ift80	Downreg
Igfn1	Downreg
Igsf9b	Downreg
Impdh1	Downreg
Ints12	Downreg
Iqcd	Downreg
Irgq	Downreg
Irs1	Downreg
Isl1	Downreg
Itga10	Downreg
Jcad	Downreg
Josd1	Downreg
Kbtbd8	Downreg
Kcnb2	Downreg
Kcnd3	Downreg
Kcng1	Downreg
Kcng3	Downreg
Kcnk12	Downreg
Kcnmb4	Downreg
