A151	A152	A153	B157	B158	B159	C165	C166	C168	D174	D176	D177
1700017B05Rik	2.45651930900557	2.07977346479544	2.59468685559821	2.23877691377276	2.31341937186292	2.52835535802874	2.38433032083124	2.27567007997019	2.26905502912381	2.53629436910763	2.33570538610777	2.22206592932159
1700018G05Rik	1.92245476863836	2.005719121779	1.45685447819194	2.46305733535285	1.96085741478665	1.79449069508003	1.80039477937384	1.44217759130507	2.17931485940765	1.98581057144921	2.55541293910263	1.21382065777991
1700019A02Rik	0.532257321551796	0.983895088579928	0.870088780369872	1.25844405528597	1.09546203766634	1.28816160494061	0.686083108154528	1.8607225452634	0.95587346014591	0.773454543312282	0.879662910740886	1.11930951640162
1700019D03Rik	2.50334317768645	2.54079090284571	2.4405734102252	2.60691803628813	2.48596176266754	2.31772021115432	2.54730224450586	2.82989083418229	2.49948180171068	2.62847134841616	2.41875232936711	2.44283369388921
1700020D05Rik	1.18424210788242	1.75004275433642	1.69457615418349	1.8095345782646	1.48637823582806	1.75964101172395	1.68231751445034	1.51365166761839	1.86749249129703	1.51087546556465	1.73389333082941	1.60192235682146
1700020L24Rik	1.29330173167254	0.287197248311176	1.06559026788619	1.08815554134544	0.946063675849951	0.722427185709097	0.356739064293655	1.31108406518295	0.84931475713504	0.960615105274783	0.587131885414953	0.951279521733375
1700022I11Rik	4.17300384127178	4.04358724167464	4.21423944076534	4.18284150182019	4.22484391733503	4.06623711626551	4.16459819665692	4.04321061459184	4.18710216778602	4.1141008949788	4.08517009957074	4.26925335710854
1700025G04Rik	3.57542443767261	3.64901106319195	3.64448721453094	3.4580310631263	3.54469563830674	3.45065956634966	3.45865182615225	3.61910991518221	3.6309771238051	3.65125636918546	3.6231857786072	3.38476160373134
1700028K03Rik	0.628087250617849	1.0127683148132	0.929515699514883	0.728739275002139	0.884730928966803	0.66563840209484	0.939489484608116	0.835048695943111	0.942536921093855	0.810287404764447	0.987571525668959	0.706911521466485
1700028P14Rik	1.76567759077255	1.17322827482457	1.60230494368766	1.36390217503428	0.83720385349552	1.43400298133946	0.969496631529275	1.73318607367637	1.33664028922182	1.07309939212041	0.821392540962655	2.0745191184504
1700029H14Rik	0.148801686098019	0.618500452775	0.579574720161486	1.47715557604679	2.33066822641684	1.15772799485965	2.17656269513292	0.232565786465995	0.770923802075034	0.289277211227643	1.28111277377633	1.79717276100295
1700029I15Rik	5.97558740226485	5.86607381944535	5.8051886428454	5.97763143401942	5.7086174074497	5.85660911528428	5.99712708568703	5.7095498747836	5.8804365812696	5.90147790643905	5.96838762371225	5.78820374525334
1700029J07Rik	1.14375935167736	0.800782549793864	0.668095041072463	1.16193645748745	1.0724426803971	0.529384271268007	1.0848649276865	0.90376059618139	0.849791027796007	0.810555454740589	1.2004898738943	0.770553238124182
1700030J22Rik	1.73816147846335	2.30871606578206	2.00248637090522	1.89786272773969	2.40990228645311	1.95660100840136	2.2312077135507	1.83554781975542	2.11583838183666	1.88986993467506	2.16000649662309	2.17519940706239
1700030K09Rik	2.39050485384942	2.52891985750132	2.45954555537594	2.5558154864821	2.40972817897002	2.58830687043197	2.45755051822134	2.56718865793656	2.51544195335496	2.5065871199438	2.5460985810883	2.38310233176051
1700034I23Rik	0.502270320338976	0.838905162952698	0.900361900970963	0.483021554061121	0.180404094473603	0.612443521275511	0.776689269031922	0.993987589552421	0.681801473161631	0.562123612535031	0.936276290629125	0.360651316671475
1700034J05Rik	0.918830698388566	0.840063552572866	0.535526345414122	0.639539650431925	0.443977457913521	0.793600768181334	0.496870563686274	0.958147065235204	0.583173942176571	0.730228576671514	0.395016846324262	0.893593970535754
1700037C18Rik	4.17047707866265	3.84684621514576	4.06906242486123	3.9013586543087	3.60591665472624	3.91498665195543	3.59009000472114	3.69676078652369	4.05571402683075	3.81812213580433	3.78747517332714	4.07468949221452
1700037H04Rik	3.2586895944139	3.09603408110199	3.04124875301449	3.19259069582779	3.36302819970294	2.99603111694803	3.34729443710515	3.06694885566404	3.06982313937171	3.161132730283	2.89874376603101	3.49724430086668
